number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_weight_decay,state
104,0.6314959993190331,2024-04-18 15:21:46.051821,2024-04-18 15:22:37.685567,0 days 00:00:51.633746,48,0.0002739021302628341,0.04300151801221763,COMPLETE
105,0.6275333843371818,2024-04-18 15:22:37.686098,2024-04-18 15:23:29.143511,0 days 00:00:51.457413,48,0.00032226145764993516,0.041520211651203565,COMPLETE
106,0.6314315661870277,2024-04-18 15:23:29.144353,2024-04-18 15:24:20.626411,0 days 00:00:51.482058,48,5.0938178863630733e-05,0.039472639243333385,COMPLETE
107,0.6353425572608721,2024-04-18 15:24:20.627190,2024-04-18 15:25:11.952831,0 days 00:00:51.325641,48,9.641972424752647e-05,0.04986088111971853,COMPLETE
108,0.6353425572608721,2024-04-18 15:25:11.953700,2024-04-18 15:26:03.109192,0 days 00:00:51.155492,48,0.00022102572974561595,0.04372199945859696,COMPLETE
109,0.630839364930605,2024-04-18 15:26:03.109973,2024-04-18 15:26:54.568034,0 days 00:00:51.458061,48,0.00014191449667547284,0.027883209755969796,COMPLETE
110,0.630839364930605,2024-04-18 15:26:54.568867,2024-04-18 15:27:46.407047,0 days 00:00:51.838180,48,7.501554528882337e-05,0.001168869735997137,COMPLETE
111,0.6350099692103922,2024-04-18 15:27:46.407830,2024-04-18 15:28:38.426577,0 days 00:00:52.018747,48,0.00033092593303571746,0.02189220754777926,COMPLETE
112,0.6370957810928325,2024-04-18 15:28:38.427292,2024-04-18 15:29:29.643942,0 days 00:00:51.216650,48,0.0003591385066460697,0.02380650430084912,COMPLETE
113,0.6370957810928325,2024-04-18 15:29:29.644757,2024-04-18 15:30:21.120400,0 days 00:00:51.475643,48,0.00030262168061736107,0.025560592488869546,COMPLETE
114,0.6315521685403245,2024-04-18 15:30:21.121208,2024-04-18 15:31:12.446683,0 days 00:00:51.325475,48,0.0001953654299456328,0.021045507196726685,COMPLETE
115,0.6315521685403245,2024-04-18 15:31:12.447477,2024-04-18 15:32:03.677364,0 days 00:00:51.229887,48,0.00044488631085140784,0.04713813791894372,COMPLETE
